NAZIV ULICA;DUŽINA U m;STAZA;;;;
Antuna Šoljana;1435;biciklistièka staza;;;;
Avenija Dubrava;600;biciklistièka staza;;;;
Avenija Dubrovnik;7400;biciklistièka staza;;;;
AVH (od Antalove do Horvatove);4150;biciklistièka staza;;;;
AVH (od sredine mosta do Antalove);1300;biciklistièka staza;;;;
AVH (od sredine mosta do Av. Vukovar);2400;biciklistièka staza;;;;
Bani ulica;1800;biciklistièka staza;;;;
Baruna Filipoviæa;3000;biciklistièka staza;;;;
Bistrièka ulica;1500;biciklistièka staza;;;;
Borovje;3000;biciklistièka staza;;;;
Bundek;2500;biciklistièka staza;;;;
Domovinski most;3000;biciklistièka staza;;;;
Držiæeva avenija;5500;biciklistièka staza;;;;
Dugave;2900;biciklistièka staza;;;;
Gavranova;3250;biciklistièka staza;;;;
Gojka Šuška;3800;biciklistièka staza;;;;
Grada Vukovara(od Držiæeve do Koledovèine);5450;biciklistièka staza;;;;
Grada Vukovara(od Savske do Držiæeve);5360;biciklistièka staza;;;;
Gunduliæeva;1600;biciklistièka staza;;;;
Heinzelova;5000;biciklistièka staza;;;;
Horvaèanska;9500;biciklistièka staza;;;;
I.B.Mažuraniæ;3000;biciklistièka staza;;;;
Islandska-Ukrajinska;3600;biciklistièka staza;;;;
Ivana Luèiæa;800;biciklistièka staza;;;;
J.Šižgoriæa i G.Krkleca;3600;biciklistièka staza;;;;
Jarun;12500;biciklistièka staza;;;;
Jarunska ulica;4000;biciklistièka staza;;;;
Jarušæica;1500;biciklistièka staza;;;;
Jozefa Antala;2100;biciklistièka staza;;;;
Klaiæeva;1800;biciklistièka staza;;;;
Krapinska ;2500;biciklistièka staza;;;;
Kustošijanska;400;biciklistièka staza;;;;
Ljudevita Posavskog;5000;biciklistièka staza;;;;
Maksimirska (pd Ravnica do okr. Dubrava);1300;biciklistièka staza;;;;
Martiæeva;1500;biciklistièka staza;;;;
Nasip (Staza zdravlja) od Jankomira do Dom. Mosta;40000;biciklistièka staza;;;;
Nova Branimirova;3500;biciklistièka staza;;;;
Oporoveèka i R. Kolaka;3200;biciklistièka staza;;;;
Palmotiæeva;735;biciklistièka staza;;;;
Petrinjska;800;biciklistièka staza;;;;
POS Špansko;2800;biciklistièka staza;;;;
Aleja Bologne;2500;biciklistièka staza;;;;
Prisavlje i Marohniæeva;2500;biciklistièka staza;;;;
Vlaæiæa Ilirika;600;biciklistièka staza;;;;
Radnièka;8200;biciklistièka staza;;;;
Remetineèka;2450;biciklistièka staza;;;;
Sarajevska;500;biciklistièka staza;;;;
Savska;2500;biciklistièka staza;;;;
Selska;1200;biciklistièka staza;;;;
Selska cesta;1200;biciklistièka staza;;;;
Sopnica;6000;biciklistièka staza;;;;
Radnièka Nova;1300;biciklistièka staza;;;;
SR Njemaèke ;3670;biciklistièka staza;;;;
Stara Branimirova;1000;biciklistièka staza;;;;
Strojarska;750;biciklistièka staza;;;;
Siniše Glavaševiæa;1300;biciklistièka staza;;;;
Škorpikova;4000;biciklistièka staza;;;;
Bauerova;550;biciklistièka staza;;;;
Travno;1200;biciklistièka staza;;;;
Aleja Bologne;1600;biciklistièka staza;;;;
Vatikanska;2180;biciklistièka staza;;;;
Vice Vukova;900;biciklistièka staza;;;;
Vrbani 3;1800;biciklistièka staza;;;;
Vukovarska-Trakošèanska;1250;biciklistièka staza;;;;
Zagrebaèka avenija i Slavonska av.;23700;biciklistièka staza;;;;
Medvešèak;1800;biciklistièka staza;;;;
Strojarska;1600;biciklistièka staza;;;;
Naselje Travno;3800;biciklistièka staza;;;;
Zaharova;580;biciklistièka staza;;;;
Zeleni valovi;2500;biciklistièka staza;;;;
Etno staza;17000;Biciklistièke staze sportsko-rekreativnog karaktera - Medvednica;;;;
Zrcalna staza;15340;Biciklistièke staze sportsko-rekreativnog karaktera - Medvednica;;;;
Staza bez daha;13000;Biciklistièke staze sportsko-rekreativnog karaktera - Medvednica;;;;
Puntarska staza;29000;Biciklistièke staze sportsko-rekreativnog karaktera - Medvednica;;;;
Šimunska staza;26000;Biciklistièke staze sportsko-rekreativnog karaktera - Medvednica;;;;
Vrabeèka staza;20000;Biciklistièke staze sportsko-rekreativnog karaktera - Medvednica;;;;
Vrhunska spojna staza;8500;Biciklistièke staze sportsko-rekreativnog karaktera - Medvednica;;;;
Spojna staza sa sedlo na sedlo;9500;Biciklistièke staze sportsko-rekreativnog karaktera - Medvednica;;;;
