broj_linije,naziv_prevoznika,naziv
1,Pavlović-turs,Mađir - Ortopedija - Nova Bolnica
3,Bočac-tours,Centar (Vodovod) - Vrbanja - Zeleni vir
3B,Aldemo turs,Centar (Vodovod) - Debeljaci
6,Bočac-tours,Autobuska stanica - Lauš - Saračica
7,Bočac-tours,Lauš - Paprikovac - Centar - Obilićevo (TO Bema)
8,Bočac-tours,Autobuska stanica - Podgora
9,Pavlović-turs,Česma - Centar - Desna Novoselja
9B,Bočac-tours,Česma - Medeno polje - Centar
9I,Aldemo turs,Incel - Centar
10,Autoprevoz,Autobuska stanica - Obilićevo
12,Pavlović-turs,Centar - Paprikovac (vidik)
13,Autoprevoz,Lazarevo - Obilićevo
13A,Autoprevoz,Nova bolnica - Centar - Zalužani
13B,Aldemo turs,Novo groblje  - Lazarevo (Poslovna škola)
13C,Rale turs,Centar - Tunjice - Zalužani
13P,Pavlović-turs,Obilićevo (Krfska) - Petrićevac
14,Pavlović-turs,Starčevica - Centar - Starčevica
14B,Pavlović-turs,Autobuska stanica - Borik - Starčevica
17,Autoprevoz,Obilićevo - Nova bolnica
17A,Pavlović-turs,Starčevica - Nova bolnica
19,Pavlović-turs,Šargovac - Centar
20,Aldemo turs,Autobuska stanica - Centar - Paprikovac
39,Pavlović-turs,Drakulić (Vrtače) - Centar
39A,Pavlović-turs,Drakulić (Avion) - Rakovacke bare - Centar
