 naziv , adresa , mjesna_zajednica, koordinata_N , koordinata_E ,broj_telefona
Ambulanta porodicne medicine Centar I ,Vladike Platona 4,Centar I,44.7746243,17.1973286,
Ambulanta porodicne medicine Obilicevo,Carice Milice 19,Obilicevo,44.7644302,17.1900667,
Ambulanta porodicne medicine Kocicev Vijenac ,Duska Koscice bb,Bulevar,44.7648052,17.1785761,
Ambulanta porodicne medicine Lazarevo,Ilije Garasanina 2,Lazarevo I,44.7973265,17.2029087,
Ambulanta porodicne medicine Nova Varos,Dragise Vasica 11,Nova Varos,44.7799317,17.185975,
Ambulanta porodicne medicine Rosulje,Kralja Petra II 45,Rosulje,44.7799317,17.185975,
Ambulanta porodicne medicine Srpske Toplice,Od Zmijana Rajka,Srpske toplice,44.7507392,17.1624419,
Ambulanta porodicne medicine Sargovac,Sargovacka 98,Sargovac,44.8233404,17.1846449,
Ambulanta porodicne medicine Petricevac,Branislava Nusica,Petricevac,44.7878689,17.1905395,
Ambulanta porodicne medicine Vrbanja,Rade Radica 155,Vrbanja,44.7631416,17.2483767,
Ambulanta porodicne medicine Laus,Karadjordjeva 159,Laus II,,,
Ambulanta porodicne medicine Starcevica,Rajka Bosnica 21,Starcevica,,,
Ambulanta porodicne medicine Starcevica,Rahja Bosnica 21,Starcevica,,,
Ambulanta porodicne medicine Centar II,Jovana Ducica bb,Centar II,,,
